Date;Latitude;Longitude;Cruise;Station;Depth;Nitrite;Silicate;Phosphate;TON;Ammonium;Nitrate;Temperature;Salinity;Oxygen;Turbidity;Chl.Fluorescence;Plankton.A.Concentration;Plankton.B.Concentration;Plankton.C.Concentration;Plankton.D.Concentration;Plankton.E.Concentration
22.06.2022;54.13;7.9;2;A;5;0.16;0.36;0.05;1.05;1.01;0.89;14.56;31.6;111.23;0.26;92.95;0;441;0;0.19;2.06
22.06.2022;54.13;7.89;2;A;40;0.21;4.96;0.09;2.53;1.74;2.33;13.88;31.98;101.76;0.38;106.24;0.39;266;0.78;0.13;3.64
22.06.2022;54.2;7.87;2;B;5;0.16;0.77;0.04;1.32;0.62;1.16;14.53;31.61;107.03;1.14;113.09;0;301;0.58;0;0
22.06.2022;54.2;7.87;2;B;12;0.14;0.81;0.02;1.24;0.52;1.1;14.49;31.62;106.2;0.94;112.15;0;324;0;0.13;2.65
23.06.2022;54.14;7.82;2;A;0;0.1;7.43;6.28;0.26;42.13;0.16;17.76;31.67;118.3;0.92;0.73;0;305;0;0.6;3.02
23.06.2022;54.15;7.87;2;A;3;0.06;0.09;0.06;0.1;1.21;0.04;15.59;31.48;119.51;0.08;67.44;0;307;0;0.26;1.04
23.06.2022;54.15;7.88;2;A;5;0.07;0.3;0.07;0.18;1.66;0.11;14.59;31.81;110.01;0.14;106.74;2.06;284;0;0.17;2.24
23.06.2022;54.15;7.89;2;A;40;0.15;1.63;0.06;1.96;1.39;1.8;13.95;31.99;103.52;0.37;113.25;0.51;363;0;0;1.69
23.06.2022;54.2;7.87;2;B;2;0.1;0.01;0.03;0.55;0.56;0.45;14.64;31.7;111.06;0.27;65.15;0.36;366;0;0.12;3.26
23.06.2022;54.2;7.87;2;B;10;0.13;2.85;0.04;1.32;0.68;1.2;14.25;31.87;106;0.65;115.99;0.32;381;0;0.32;2.39
24.06.2022;54.15;7.88;2;A;4;0.06;0.04;0.05;0.18;0.7;0.12;16.92;31.06;118.73;0;45.27;0.83;259;0;0;3.73
24.06.2022;54.15;7.88;2;A;11;0.15;1.67;0.04;1.93;1.43;1.78;14.56;31.79;105.46;0.24;93.45;0.28;366;0.28;0;1.81
